p_id,p_id2,distance_mean,distance_median,distance_std
H3N1,H2N3,2.34222222222,2.275,0.240827406053
H3N1,H1N2,2.55904117315,2.55,0.199057522706
H3N1,H1N1,2.59901943719,2.57,0.23883230932
H3N1,H2N9,2.11444444444,2.12,0.101007272688
H3N1,H9N2,2.2794,2.27,0.128117463464
H3N1,H9N1,2.2362962963,2.22,0.101000482146
H3N1,H9N7,2.17333333333,2.17,0.0728773703636
H3N1,H9N6,2.17111111111,2.14,0.0762225461606
H3N1,H9N5,2.31388888889,2.34,0.0905623719316
H3N1,H9N9,2.31444444444,2.25,0.098670170108
H3N1,H7N2,2.00666666667,1.99,0.182675587779
H3N3,H3N2,1.33629343629,1.36,0.240915577412
H3N3,H3N5,1.17666666667,1.43,0.358267435801
H3N3,H3N7,0.47,0.47,0.0
H3N3,H3N6,0.9775,1.11,0.299447407736
H3N3,H5N9,1.965,1.965,0.045
H3N3,H5N8,2.19,2.19,0.0
H3N3,H5N7,2.25,2.25,0.0
H3N3,H5N6,2.37,2.37,0.0
H3N3,H5N5,2.102,2.12,0.111247471881
H3N3,H5N3,2.145,2.11,0.112583302492
H3N3,H5N2,2.09705882353,2.07,0.109316846874
H3N3,H5N1,2.2465648855,2.24,0.147331329319
H3N3,H10N8,2.075,2.075,0.195
H3N3,H7N9,2.11,2.11,0.0
H3N3,H7N8,2.04,2.04,0.0
H3N3,H7N4,2.05,2.05,0.0
H3N3,H7N7,2.07083333333,2.025,0.149245789071
H3N3,H10N3,2.12,2.12,0.0
H3N3,H7N1,2.30333333333,2.28,0.119536140514
H3N3,H7N3,2.25428571429,2.28,0.235787867303
H3N3,H10N7,2.03857142857,1.985,0.159904308119
H3N3,H2N5,2.27,2.28,0.0860232526704
H3N3,H2N7,2.0675,2.065,0.066096520332
H3N3,H2N1,2.19,2.19,0.04
H3N3,H2N2,2.1208,2.1,0.112460481948
H3N3,H2N3,2.2725,2.29,0.105682306939
H3N3,H1N2,2.28106598985,2.26,0.116838127037
H3N3,H1N1,2.33903394256,2.32,0.142912109041
H3N3,H2N9,2.41,2.41,0.0
H3N3,H9N2,2.2836,2.29,0.134651550307
H3N3,H9N1,2.40666666667,2.36,0.126841983936
H3N3,H9N7,2.3,2.3,0.0
H3N3,H9N6,2.32,2.32,0.0
H3N3,H9N5,2.44,2.44,0.03
H3N3,H9N9,2.19,2.19,0.0
H3N3,H7N2,2.19666666667,2.17,0.237533623351
H3N2,H3N5,1.15208494208,1.14,0.230544714474
H3N2,H3N7,1.22038610039,1.23,0.249501134622
H3N2,H3N6,1.08040540541,1.06,0.226805134944
H3N2,H5N9,2.22457528958,2.21,0.149142054564
H3N2,H5N8,2.54038610039,2.53,0.134244078261
H3N2,H5N7,2.37030888031,2.36,0.097354490759
H3N2,H5N6,2.59783783784,2.6,0.12131183197
H3N2,H5N5,2.2621003861,2.26,0.133117322625
H3N2,H5N3,2.27748069498,2.19,0.231526169985
H3N2,H5N2,2.29514421985,2.28,0.170862651701
H3N2,H5N1,2.47521913407,2.46,0.211780909797
H3N2,H10N8,1.99569498069,1.99,0.121027612655
H3N2,H7N9,1.99861003861,1.98,0.118639319302
H3N2,H7N8,1.79216216216,1.78,0.0832957513781
H3N2,H7N4,1.85030888031,1.83,0.133277300978
H3N2,H7N7,1.92377091377,1.9,0.149712084139
H3N2,H10N3,2.00069498069,1.99,0.107111512337
H3N2,H7N1,1.99503217503,1.98,0.188613528981
H3N2,H7N3,2.07078874793,2.09,0.202251218743
H3N2,H10N7,2.00350523993,1.98,0.152228299463
H3N2,H2N5,2.23207528958,2.1,0.303784428316
H3N2,H2N7,2.24088803089,2.24,0.119235754156
H3N2,H2N1,2.11926640927,2.12,0.10029609865
H3N2,H2N2,2.13864401544,2.13,0.136097338806
H3N2,H2N3,2.34073841699,2.29,0.237373386513
H3N2,H1N2,2.52988220998,2.51,0.195829485691
H3N2,H1N1,2.57354194179,2.54,0.236765315532
H3N2,H2N9,2.15521235521,2.16,0.131140870358
H3N2,H9N2,2.27171891892,2.26,0.125741579963
H3N2,H9N1,2.24263835264,2.24,0.120346407863
H3N2,H9N7,2.17285714286,2.17,0.0984177079031
H3N2,H9N6,2.1616988417,2.16,0.0928080284948
H3N2,H9N5,2.31915057915,2.32,0.0972937503184
H3N2,H9N9,2.28652509653,2.28,0.113798449937
H3N2,H7N2,2.02122265122,1.99,0.194081470247
H3N5,H3N7,1.02333333333,1.28,0.420819306697
H3N5,H3N6,1.13166666667,1.25,0.224827094057
H3N5,H5N9,2.15833333333,2.115,0.156569118567
H3N5,H5N8,2.47333333333,2.53,0.172111075246
H3N5,H5N7,2.21,2.21,0.0163299316186
H3N5,H5N6,2.6,2.58,0.131402688963
H3N5,H5N5,2.21866666667,2.18,0.142775659301
H3N5,H5N3,2.25416666667,2.125,0.239076638108
H3N5,H5N2,2.26745098039,2.26,0.187865650131
H3N5,H5N1,2.45460559796,2.45,0.232893973122
H3N5,H10N8,2.02833333333,2.035,0.122395079785
H3N5,H7N9,1.88,1.84,0.109848380355
H3N5,H7N8,1.88333333333,1.84,0.114406682012
H3N5,H7N4,1.76666666667,1.73,0.145220139405
H3N5,H7N7,1.94166666667,1.965,0.170855689594
H3N5,H10N3,1.96666666667,1.87,0.165797734873
H3N5,H7N1,2.00222222222,2.05,0.19577639046
